Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,attrition_flag,income_log,tenure_ratio,promotion_gap_ratio,manager_tenure_ratio,distance_per_income,overtime_flag,travel_frequently_flag,single_flag,male_flag,age_group,income_group,tenure_group
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1,8.69851424787661,0.6666666666666666,0.0,0.7142857142857143,0.0001668335001668335,1,0,1,0,36-45,중상,6-10년
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0,8.543055850941965,0.9090909090909091,0.09090909090909091,0.6363636363636364,0.0015591502631066068,0,1,0,1,46-55,중상,6-10년
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,1,7.645397699428633,0.0,0.0,0.0,0.0009564801530368245,1,0,1,1,36-45,저소득,0-2년
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0,7.975908360165538,0.8888888888888888,0.3333333333333333,0.0,0.0010309278350515464,1,1,0,0,26-35,저소득,6-10년
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0,8.15162164696975,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.0005765350245027386,0,0,0,1,26-35,중하,0-2년
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0,8.029107054619736,0.7777777777777778,0.375,0.75,0.0006516780710329097,0,1,1,1,26-35,중하,6-10년
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0,7.890208213109961,0.07692307692307693,0.0,0.0,0.0011231748408835642,1,0,0,0,56-65,저소득,0-2년
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0,7.898782356970309,0.5,0.0,0.0,0.008908685968819599,0,0,0,1,26-35,저소득,0-2년
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0,9.161885151706779,0.8181818181818182,0.1,0.8,0.0024141912459326124,0,1,1,1,36-45,고소득,6-10년
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0,8.563695025067657,0.3888888888888889,0.875,0.875,0.005154639175257732,0,0,0,1,36-45,중상,6-10년
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0,7.794411205726601,0.7142857142857143,0.0,0.5,0.006592501030078286,0,0,0,1,26-35,저소득,3-5년
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0,8.341410211461865,0.8181818181818182,0.0,0.8,0.00357653791130186,1,0,1,0,26-35,중하,6-10년
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0,7.976595409316577,0.8333333333333334,0.6666666666666666,0.5,0.008928571428571428,0,0,0,1,26-35,저소득,3-5년
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0,7.8868329989550565,0.5,0.3333333333333333,0.6666666666666666,0.007137490608564989,0,0,0,1,26-35,저소득,0-2년
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1,7.615298339825815,0.5714285714285714,0.0,0.6,0.011828486939379004,1,0,1,1,26-35,저소득,3-5년
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0,9.208438564686587,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.0021039975954313195,0,0,0,0,26-35,고소득,6-10년
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0,8.101374671228582,0.75,0.0,0.7142857142857143,0.001515610791148833,1,0,0,1,26-35,중하,6-10년
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0,7.984803389734406,0.5,0.0,0.0,0.005449591280653951,1,0,0,1,18-25,중하,0-2년
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0,9.643939319328119,0.78125,0.11538461538461539,0.2692307692307692,0.00012963443090484831,0,0,0,0,46-55,고소득,20년 초과
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0,8.280204233279974,0.42857142857142855,0.25,0.5,0.0005069708491761723,1,0,1,1,36-45,중하,3-5년
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0,8.297045149081827,0.6666666666666666,0.2,0.6,0.0027417746759720836,0,0,0,0,18-25,중하,3-5년
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,1,8.133880887949207,0.45454545454545453,0.0,0.5,0.002640845070422535,0,0,1,1,36-45,중하,3-5년
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0,9.392245175273795,0.8571428571428571,0.15384615384615385,0.8461538461538461,0.0005835764902042518,0,0,1,0,26-35,고소득,11-20년
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0,7.117205503164344,0.0,0.0,0.0,0.012165450121654502,0,0,1,1,18-25,저소득,0-2년
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,1,7.993282328101591,0.4444444444444444,0.2,0.6,0.002026342451874367,0,0,1,1,26-35,중하,3-5년
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0,9.857181799659617,0.5185185185185185,0.26666666666666666,0.5333333333333333,0.0002618486514794449,0,0,0,0,46-55,고소득,11-20년
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1,8.273846932784508,0.9090909090909091,0.5454545454545454,0.6363636363636364,0.004081632653061225,1,1,1,0,26-35,중하,6-10년
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0,8.828494129466652,0.8181818181818182,0.4,0.2,0.0011719894520949312,0,0,0,1,36-45,중상,6-10년
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0,9.234935418831563,0.88,0.21739130434782608,0.7391304347826086,0.0006829934627768562,0,0,0,0,36-45,고소득,20년 초과
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0,9.849453664043642,0.08695652173913043,0.6666666666666666,0.3333333333333333,0.00010555203715431708,0,0,1,0,46-55,고소득,0-2년
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0,7.822845290279774,0.125,0.0,0.0,0.0008009611533840609,0,0,1,1,26-35,저소득,0-2년
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0,8.774312958285378,0.4,0.2,0.6,0.001546551190844417,1,0,0,1,36-45,중상,3-5년
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0,7.699389406256737,0.9090909090909091,0.09090909090909091,0.7272727272727273,0.0040779338468509285,0,0,1,1,26-35,저소득,6-10년
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,1,7.643482907077201,0.05,0.0,0.0,0.0023957834211787254,0,0,0,1,36-45,저소득,0-2년
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1,7.738052297689316,0.2857142857142857,0.6666666666666666,0.0,0.00043591979075850045,1,0,0,1,18-25,저소득,0-2년
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0,7.880804344674901,0.7142857142857143,0.16666666666666666,0.6666666666666666,0.0007558578987150416,0,0,0,0,36-45,저소득,3-5년
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1,7.895063498091573,0.75,0.0,0.5,0.0011177347242921013,1,0,0,1,46-55,저소득,3-5년
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0,7.608374474380783,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009925558312655087,0,0,0,0,26-35,저소득,0-2년
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0,8.13739583005665,0.14285714285714285,0.0,0.0,0.0014619883040935672,1,0,0,0,36-45,중하,0-2년
