Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,income_log,tenure_ratio,promotion_gap_ratio,manager_tenure_ratio,distance_per_income,age_group,income_group,tenure_group,attrition_flag
41,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,8.69851424787661,0.6666666666666666,0.0,0.7142857142857143,0.0001668335001668,36-45,중상,6-10년,1
49,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,8.543055850941965,0.9090909090909092,0.0909090909090909,0.6363636363636364,0.0015591502631066,46-55,중상,6-10년,0
37,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,7.645397699428633,0.0,0.0,0.0,0.0009564801530368,36-45,저소득,0-2년,1
33,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,7.975908360165538,0.8888888888888888,0.3333333333333333,0.0,0.0010309278350515,26-35,저소득,6-10년,0
27,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,8.15162164696975,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.0005765350245027,26-35,중하,0-2년,0
32,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,8.029107054619736,0.7777777777777778,0.375,0.75,0.0006516780710329,26-35,중하,6-10년,0
59,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,7.890208213109961,0.0769230769230769,0.0,0.0,0.0011231748408835,56-65,저소득,0-2년,0
30,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,7.898782356970309,0.5,0.0,0.0,0.0089086859688195,26-35,저소득,0-2년,0
38,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8,9.16188515170678,0.8181818181818182,0.1,0.8,0.0024141912459326,36-45,고소득,6-10년,0
36,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7,8.563695025067657,0.3888888888888889,0.875,0.875,0.0051546391752577,36-45,중상,6-10년,0
